Region,Census year,Total,Mean rent per person
Narre Warren South (East),2006,259,69.11969111969111
Narre Warren South (East),2011,274,96.13868613138686
Narre Warren South (East),2016,326,110.57055214723925
Narre Warren South (West),2006,509,64.97838899803536
Narre Warren South (West),2011,712,92.65449438202248
Narre Warren South (West),2016,813,99.90159901599016
Newport,2006,1535,86.75895765472313
Newport,2011,1687,127.89270895080024
Newport,2016,1836,151.14978213507624
Niddrie - Essendon West,2006,408,75.28921568627452
Niddrie - Essendon West,2011,433,116.20092378752886
Niddrie - Essendon West,2016,569,138.08435852372583
Noble Park - East,2006,1454,69.31980742778542
Noble Park - East,2011,1761,106.58773424190801
Noble Park - East,2016,1987,122.96879718168093
Noble Park - West,2006,1508,63.968832891246684
Noble Park - West,2011,1771,99.35403726708074
Noble Park - West,2016,1988,114.81841046277665
Noble Park North,2006,560,53.966071428571425
Noble Park North,2011,624,84.97916666666667
Noble Park North,2016,670,101.86865671641792
North Melbourne,2006,3356,116.84773539928486
North Melbourne,2011,3709,172.33189538959286
North Melbourne,2016,5252,210.6841203351104
Northcote,2006,3007,101.85334220152976
Northcote,2011,3241,157.9605060166615
Northcote,2016,3525,190.67602836879433
Nunawading,2006,903,73.59246954595791
Nunawading,2011,997,108.66599799398193
Nunawading,2016,1150,127.3095652173913
Oakleigh - Huntingdale,2006,1731,84.72501444251878
Oakleigh - Huntingdale,2011,2012,124.18936381709742
Oakleigh - Huntingdale,2016,2238,145.80160857908845
Ormond - Glen Huntly,2006,1622,109.22009864364982
Ormond - Glen Huntly,2011,1966,160.01271617497454
Ormond - Glen Huntly,2016,2278,184.30553116769096
Pakenham - North,2006,473,59.38054968287527
